/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.561404,0.011862
Epoch: 128/1000, train loss:0.102037, test loss:0.268723, train_acc=2764/2880=0.959722, test_acc=1030/1140=0.903509, best_acc=0.903509, train_mae:0.001987, test_mae:0.002593
Epoch: 129/1000, train loss:0.109457, test loss:0.193128, train_acc=2761/2880=0.958681, test_acc=1042/1140=0.914035, best_acc=0.914035, train_mae:0.001950, test_mae:0.002246
Epoch: 130/1000, train loss:0.126666, test loss:2.372534, train_acc=2740/2880=0.951389, test_acc=690/1140=0.605263, best_acc=0.914035, train_mae:0.001929, test_mae:0.002000
Epoch: 131/1000, train loss:0.112311, test loss:0.279617, train_acc=2763/2880=0.959375, test_acc=1030/1140=0.903509, best_acc=0.914035, train_mae:0.001887, test_mae:0.001383
Epoch: 132/1000, train loss:0.096089, test loss:0.407588, train_acc=2780/2880=0.965278, test_acc=986/1140=0.864912, best_acc=0.914035, train_mae:0.001934, test_mae:0.001379
Epoch: 133/1000, train loss:0.087800, test loss:2.306081, train_acc=2782/2880=0.965972, test_acc=686/1140=0.601754, best_acc=0.914035, train_mae:0.001948, test_mae:0.006505
Epoch: 134/1000, train loss:0.108208, test loss:1.989856, train_acc=2751/2880=0.955208, test_acc=725/1140=0.635965, best_acc=0.914035, train_mae:0.001924, test_mae:0.001368
Epoch: 135/1000, train loss:0.110257, test loss:0.245007, train_acc=2749/2880=0.954514, test_acc=1022/1140=0.896491, best_acc=0.914035, train_mae:0.001895, test_mae:0.002256
Epoch: 136/1000, train loss:0.094215, test loss:0.432535, train_acc=2775/2880=0.963542, test_acc=960/1140=0.842105, best_acc=0.914035, train_mae:0.001832, test_mae:0.004014
Epoch: 137/1000, train loss:0.097987, test loss:0.544094, train_acc=2765/2880=0.960069, test_acc=919/1140=0.806140, best_acc=0.914035, train_mae:0.001817, test_mae:0.001662
Epoch: 138/1000, train loss:0.091369, test loss:0.132855, train_acc=2775/2880=0.963542, test_acc=1079/1140=0.946491, best_acc=0.946491, train_mae:0.001746, test_mae:0.002206
Epoch: 139/1000, train loss:0.105388, test loss:0.148488, train_acc=2768/2880=0.961111, test_acc=1073/1140=0.941228, best_acc=0.946491, train_mae:0.001748, test_mae:0.004681
Epoch: 140/1000, train loss:0.076940, test loss:0.167079, train_acc=2801/2880=0.972569, test_acc=1067/1140=0.935965, best_acc=0.946491, train_mae:0.001758, test_mae:0.002007
